Id,Style
0,American IPA
1,American IPA
2,American IPA
3,American IPA
4,American IPA
5,American IPA
6,American IPA
7,American IPA
8,American IPA
9,American IPA
10,American IPA
11,American IPA
12,American IPA
13,American IPA
14,American IPA
15,American IPA
16,American IPA
17,American IPA
18,American IPA
19,American IPA
20,American IPA
21,American IPA
22,American IPA
23,American IPA
24,American IPA
25,American IPA
26,American IPA
27,American IPA
28,American IPA
29,American IPA
30,American IPA
31,American IPA
32,American IPA
33,American IPA
34,American IPA
35,American IPA
36,American IPA
37,American IPA
38,American IPA
39,American IPA
40,American IPA
41,American IPA
42,American IPA
43,American IPA
44,American IPA
45,American IPA
46,American IPA
47,American IPA
48,American IPA
49,American IPA
50,American IPA
51,American IPA
52,American IPA
53,American IPA
54,American IPA
55,American IPA
56,American IPA
57,American IPA
58,American IPA
59,American IPA
60,American IPA
61,American IPA
62,American IPA
63,American IPA
64,American IPA
65,American IPA
66,American IPA
67,American IPA
68,American IPA
69,American IPA
70,American IPA
71,American IPA
72,American IPA
73,American IPA
74,American IPA
75,American IPA
76,American IPA
77,American IPA
78,American IPA
79,American IPA
80,American IPA
81,American IPA
82,American IPA
83,American IPA
84,American IPA
85,American IPA
86,American IPA
87,American IPA
88,American IPA
89,American IPA
90,American IPA
91,American IPA
92,American IPA
93,American IPA
94,American IPA
95,American IPA
96,American IPA
97,American IPA
98,American IPA
99,American IPA
100,American IPA
101,American IPA
102,American IPA
103,American IPA
104,American IPA
105,American IPA
106,American IPA
107,American IPA
108,American IPA
109,American IPA
110,American IPA
111,American IPA
112,American IPA
113,American IPA
114,American IPA
115,American IPA
116,American IPA
117,American IPA
118,American IPA
119,American IPA
120,American IPA
121,American IPA
122,American IPA
123,American IPA
124,American IPA
125,American IPA
126,American IPA
127,American IPA
128,American IPA
129,American IPA
130,American IPA
131,American IPA
132,American IPA
133,American IPA
134,American IPA
135,American IPA
136,American IPA
137,American IPA
138,American IPA
139,American IPA
140,American IPA
141,American IPA
142,American IPA
143,American IPA
144,American IPA
145,American IPA
146,American IPA
147,American IPA
148,American IPA
149,American IPA
150,American IPA
151,American IPA
152,American IPA
153,American IPA
154,American IPA
155,American IPA
156,American IPA
157,American IPA
158,American IPA
159,American IPA
160,American IPA
161,American IPA
162,American IPA
163,American IPA
164,American IPA
165,American IPA
166,American IPA
167,American IPA
168,American IPA
169,American IPA
170,American IPA
171,American IPA
172,American IPA
173,American IPA
174,American IPA
175,American IPA
176,American IPA
177,American IPA
178,American IPA
179,American IPA
180,American IPA
181,American IPA
182,American IPA
183,American IPA
184,American IPA
185,American IPA
186,American IPA
187,American IPA
188,American IPA
189,American IPA
190,American IPA
191,American IPA
192,American IPA
193,American IPA
194,American IPA
195,American IPA
196,American IPA
197,American IPA
198,American IPA
199,American IPA
200,American IPA
201,American IPA
202,American IPA
203,American IPA
204,American IPA
205,American IPA
206,American IPA
207,American IPA
208,American IPA
209,American IPA
210,American IPA
211,American IPA
212,American IPA
213,American IPA
214,American IPA
215,American IPA
216,American IPA
217,American IPA
218,American IPA
219,American IPA
220,American IPA
221,American IPA
222,American IPA
223,American IPA
224,American IPA
225,American IPA
226,American IPA
227,American IPA
228,American IPA
229,American IPA
230,American IPA
231,American IPA
232,American IPA
233,American IPA
234,American IPA
235,American IPA
236,American IPA
