Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
0,22.71,1.071,1.021,6.51,81.14,6.43,28.39,90,1.057,78.0,1.2,Specific Gravity,All Grain,,20.0,American IPA
1,7.57,1.062,1.016,6.14,138.44,15.28,7.57,60,1.062,35.0,,Specific Gravity,extract,0.5,20.0,American IPA
2,12.0,1.051,1.012,5.17,27.57,14.54,14.0,60,1.041,65.0,,Specific Gravity,BIAB,0.35,20.0,Irish Red Ale
3,15.0,1.051,1.013,5.01,38.53,26.73,19.0,90,1.04,65.0,3.0,Specific Gravity,All Grain,,,American Stout
4,21.77,1.061,1.013,6.25,43.2,4.08,23.66,15,1.045,35.0,,Specific Gravity,extract,0.75,20.0,American IPA
5,20.82,1.04,1.008,4.27,30.11,16.32,26.5,60,1.032,50.0,1.5,Specific Gravity,All Grain,,26.67,American Amber Ale
6,18.93,1.072,1.015,7.45,29.94,5.44,20.82,60,1.065,70.0,2.0,Specific Gravity,All Grain,0.35,26.67,Saison
7,21.0,1.05,1.0090000000000001,5.41,111.28,5.78,28.5,60,1.037,65.0,5.0,Specific Gravity,All Grain,1.0,19.0,American Pale Ale
8,18.93,1.048,1.008,5.31,13.87,6.08,28.39,60,1.032,65.0,,Specific Gravity,BIAB,0.5,23.89,Saison
9,41.64,1.075,1.0170000000000001,7.61,70.45,9.29,49.21,60,1.064,70.0,1.25,Specific Gravity,All Grain,0.75,17.78,American IPA
10,20.82,1.058,1.01,6.29,64.35,3.86,28.39,60,1.042,80.0,2.0,Specific Gravity,All Grain,0.35,,American IPA
11,20.82,1.056,1.014,5.49,62.15,13.61,24.61,70,,70.0,,Specific Gravity,All Grain,,,American IPA
12,26.0,1.074,1.016,7.58,75.77,5.94,34.0,60,1.056,70.0,3.6,Specific Gravity,All Grain,,,American IPA
13,10.79,1.067,1.0190000000000001,6.27,42.16,13.33,15.33,90,1.047,68.0,,Specific Gravity,All Grain,0.5,18.33,American IPA
14,58.67,1.0590000000000002,1.011,6.32,43.17,6.48,71.92,65,1.048,62.0,1.5,Specific Gravity,All Grain,1.0,23.89,Saison
15,20.82,1.069,1.014,7.2,104.21,8.78,28.39,60,1.05,60.0,1.5,Specific Gravity,All Grain,1.25,19.44,American IPA
16,18.93,1.065,1.016,6.43,96.95,8.01,9.46,60,1.131,35.0,,Specific Gravity,extract,,,American IPA
